epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1313.07,0.93472,0.66435,0.9832,0.8403,0.79939,0.8594,0.65345,0.99246,0.72342,1.01121,0.000264267,0.000264267,0.000264267
55,1337.04,0.92784,0.65826,0.98424,0.83882,0.80055,0.8591,0.65584,0.99311,0.73027,1.00556,0.000258762,0.000258762,0.000258762
56,1361.1,0.92591,0.65395,0.98405,0.83931,0.81087,0.86335,0.65886,0.98881,0.71723,1.00789,0.000253258,0.000253258,0.000253258
57,1385.6,0.92861,0.64774,0.97896,0.84334,0.799,0.85574,0.65303,0.99022,0.72344,1.00792,0.000247754,0.000247754,0.000247754
58,1410.08,0.92164,0.64789,0.98187,0.85572,0.79744,0.8646,0.66296,0.98448,0.72247,1.00724,0.000242249,0.000242249,0.000242249
59,1434.97,0.92422,0.64274,0.97749,0.82677,0.80595,0.85864,0.65688,0.98848,0.72105,1.01192,0.000236745,0.000236745,0.000236745
60,1458.83,0.91717,0.64034,0.97778,0.83818,0.81056,0.85921,0.65787,0.98679,0.72031,1.00954,0.00023124,0.00023124,0.00023124
61,1483.04,0.91252,0.63637,0.97621,0.83447,0.81689,0.86473,0.66292,0.98301,0.71647,1.00704,0.000225736,0.000225736,0.000225736
62,1507.37,0.91339,0.63247,0.97512,0.83763,0.82127,0.8635,0.66294,0.98617,0.71446,1.01659,0.000220232,0.000220232,0.000220232
63,1531.61,0.90872,0.62827,0.97636,0.83874,0.81572,0.86533,0.66399,0.99434,0.71677,1.01423,0.000214727,0.000214727,0.000214727
64,1555.95,0.90336,0.62394,0.97433,0.84787,0.80706,0.85979,0.65903,0.99173,0.72222,1.01368,0.000209223,0.000209223,0.000209223
65,1580.14,0.90344,0.6206,0.97274,0.84782,0.8098,0.8608,0.66056,0.98737,0.71814,1.00978,0.000203718,0.000203718,0.000203718
66,1604.12,0.89735,0.6167,0.9712,0.85108,0.81195,0.86149,0.66295,0.98331,0.7167,1.00861,0.000198214,0.000198214,0.000198214
67,1627.96,0.89521,0.61374,0.96909,0.84009,0.82669,0.86293,0.66279,0.98673,0.71503,1.01069,0.00019271,0.00019271,0.00019271
68,1651.98,0.89795,0.61373,0.96671,0.84968,0.81403,0.86316,0.6652,0.98415,0.71588,1.01137,0.000187205,0.000187205,0.000187205
